,frequency,item
0,62547,
1,20942,dwyane
2,140649,all-star
3,40140,trade
4,20555,go
5,33023,still
6,23356,at&amp;t
7,22863,he's
8,34191,it’s
9,31453,young
10,30090,giannis
11,26386,better
12,20316,#nbaallstar
13,33814,going
14,26064,2019
15,20139,"pts,"
16,23447,good
17,36379,return
18,42917,get
19,21219,i’m
20,30558,@sportscenter:
21,84962,game
22,19887,every
23,22568,know
24,35610,got
25,24486,years
26,20836,day
27,20131,magic
28,66230,like
29,56901,james
30,19369,nfl
31,21569,michael
32,69587,team
33,53812,right
34,18844,people
35,39791,back
36,22970,"here

the"
37,18967,year
38,385884,nba
39,64202,best
40,24107,really
41,35411,even
42,25787,said
43,35161,a…
44,21932,https://t.co/3ugixplld3
45,20784,3
46,30716,new
47,26408,never
48,19064,free
49,24806,dirk
50,23703,super
51,25793,@worldwidewob:
52,27397,league
53,36751,last
54,26160,favorite
55,73250,lakers
56,29346,players
57,23749,games
58,21305,traded
59,22197,think
60,38129,first
61,23277,named
62,31479,love
63,29548,win
64,24909,sweep
65,48157,one
66,24681,https://t.co/4sfq42ipac
67,23339,bats
68,21668,wade
69,285218,lebron
70,26565,he’s
71,19427,basketball
72,24127,russell
73,27539,would
74,24681,@rudegyalmauni:
75,26925,don’t
76,37962,#nba
77,23624,gay
78,22968,"center.

rudy"
79,45260,season
80,22993,chucks
81,21235,anthony
82,20670,jordan
83,18817,kyrie
84,20977,made
85,35531,look
86,26592,see
87,29162,fans
88,25676,kobe
89,26560,tonight
90,40844,player
91,20117,want
92,22968,"bails.
lamarcus"
93,20157,warriors
94,48405,make
95,20788,5
96,18643,performance
97,77236,@bleacherreport:
98,44317,play
99,32457,ball
100,136214,star
101,22525,roster
102,27745,moment
103,24781,feds
104,18670,rudy
105,19488,weekend
106,56702,@nba
107,23374,man
108,20489,"lebron,"
109,25080,back.
110,70973,@nba:
111,29053,time
