,frequency,pair
0,22971,"(a…, ball)"
1,23739,"(best, nba)"
2,22967,"(@worldwidewob:, at&amp;t)"
3,37635,"(james, lebron)"
4,22968,"(gay, at&amp;t)"
5,22968,"(center.

rudy, season)"
6,22968,"(best, bails.
lamarcus)"
7,22999,"(gay, nba)"
8,22968,"(center.

rudy, nba)"
9,23085,"(bats, nba)"
10,23295,"(moment, best)"
11,22967,"(@worldwidewob:, moment)"
12,26572,"(a…, nba)"
13,22972,"(right, bats)"
14,23093,"(right, moment)"
15,24632,"(return, nba)"
16,22968,"(a…, at&amp;t)"
17,22968,"(chucks, here

the)"
18,22967,"(chucks, @worldwidewob:)"
19,22967,"(right, @worldwidewob:)"
20,23131,"(a…, season)"
21,23258,"(right, return)"
22,22970,"(return, at&amp;t)"
23,22968,"(bails.
lamarcus, nba)"
24,18670,"(favorite, nba)"
25,22968,"(chucks, bails.
lamarcus)"
26,21727,"(game, nba)"
27,22983,"(nba, at&amp;t)"
28,23614,"(ball, best)"
29,32351,"(right, nba)"
30,22986,"(return, season)"
31,22967,"(return, @worldwidewob:)"
32,22969,"(right, gay)"
33,22968,"(chucks, bats)"
34,22968,"(center.

rudy, chucks)"
35,22967,"(@worldwidewob:, best)"
36,22967,"(ball, at&amp;t)"
37,22972,"(gay, best)"
38,22968,"(center.

rudy, best)"
39,26581,"(all-star, nba)"
40,22967,"(ball, bails.
lamarcus)"
41,22967,"(a…, @worldwidewob:)"
42,26387,"(lakers, lebron)"
43,22969,"(here

the, best)"
44,22969,"(moment, here

the)"
45,22969,"(here

the, bats)"
46,28154,"(season, nba)"
47,19667,"(team, lebron)"
48,23087,"(season, ball)"
49,23746,"(right, best)"
50,22968,"(moment, bails.
lamarcus)"
51,22973,"(a…, moment)"
52,22968,"(chucks, best)"
53,22967,"(here

the, ball)"
54,23240,"(moment, at&amp;t)"
55,30059,"(@bleacherreport:, lebron)"
56,22967,"(a…, bats)"
57,22967,"(moment, ball)"
58,22968,"(gay, center.

rudy)"
59,21926,"(all-star, game)"
60,22968,"(return, chucks)"
61,22968,"(return, bails.
lamarcus)"
62,23351,"(back., lebron)"
63,22969,"(@worldwidewob:, nba)"
64,24681,"(https://t.co/4sfq42ipac, feds)"
65,22968,"(gay, here

the)"
66,22974,"(season, bats)"
67,23219,"(return, a…)"
68,22967,"(a…, here

the)"
69,24681,"(@rudegyalmauni:, feds)"
70,22968,"(center.

rudy, at&amp;t)"
71,23060,"(right, season)"
72,22970,"(return, bats)"
73,22968,"(center.

rudy, bails.
lamarcus)"
74,22968,"(bats, bails.
lamarcus)"
75,21248,"(@bleacherreport:, nba)"
76,22967,"(a…, bails.
lamarcus)"
77,22967,"(chucks, ball)"
78,22967,"(@worldwidewob:, bats)"
79,22969,"(right, chucks)"
80,22986,"(bats, at&amp;t)"
81,22969,"(gay, a…)"
82,22969,"(gay, bats)"
83,21931,"(@bleacherreport:, https://t.co/3ugixplld3)"
84,24371,"(season, best)"
85,22968,"(center.

rudy, here

the)"
86,22967,"(center.

rudy, @worldwidewob:)"
87,22968,"(gay, moment)"
88,22970,"(return, here

the)"
89,22969,"(chucks, nba)"
90,22970,"(right, at&amp;t)"
91,24681,"(@rudegyalmauni:, sweep)"
92,22968,"(bails.
lamarcus, at&amp;t)"
93,22968,"(chucks, at&amp;t)"
94,23307,"(right, a…)"
95,22968,"(right, bails.
lamarcus)"
96,22970,"(here

the, nba)"
97,23010,"(right, ball)"
98,22968,"(return, gay)"
99,22967,"(season, @worldwidewob:)"
100,22967,"(ball, bats)"
101,22970,"(right, here

the)"
102,21944,"(@bleacherreport:, back.)"
103,22968,"(center.

rudy, moment)"
104,24716,"(feds, sweep)"
105,22969,"(gay, season)"
106,21932,"(back., https://t.co/3ugixplld3)"
107,22968,"(return, center.

rudy)"
108,22989,"(return, moment)"
109,22968,"(here

the, bails.
lamarcus)"
110,22968,"(right, center.

rudy)"
111,24681,"(@rudegyalmauni:, https://t.co/4sfq42ipac)"
112,22992,"(season, moment)"
113,26193,"(ball, nba)"
114,22970,"(here

the, at&amp;t)"
115,22967,"(gay, @worldwidewob:)"
116,22970,"(bats, best)"
117,21932,"(https://t.co/3ugixplld3, lebron)"
118,22967,"(gay, ball)"
119,23357,"(a…, best)"
120,22970,"(season, at&amp;t)"
121,22967,"(@worldwidewob:, ball)"
122,22992,"(return, best)"
123,22968,"(season, bails.
lamarcus)"
124,24681,"(https://t.co/4sfq42ipac, sweep)"
125,22968,"(gay, chucks)"
126,23701,"(moment, nba)"
127,22969,"(season, here

the)"
128,22967,"(season, chucks)"
129,22967,"(center.

rudy, ball)"
130,22967,"(@worldwidewob:, here

the)"
131,22967,"(a…, center.

rudy)"
132,22967,"(a…, chucks)"
133,22968,"(center.

rudy, bats)"
134,22968,"(chucks, moment)"
135,22967,"(return, ball)"
136,22970,"(best, at&amp;t)"
137,22968,"(gay, bails.
lamarcus)"
138,22967,"(@worldwidewob:, bails.
lamarcus)"
139,22971,"(moment, bats)"
